Time,HeartRate,Temperature
00:00:00,70,96.3
00:05:00,71,96.7
00:10:00,74,96.9
00:15:00,80,97
00:20:00,73,97.1
00:25:00,75,97.1
00:30:00,82,97.1
00:35:00,64,97.2
00:40:00,69,97.3
00:45:00,70,97.4
00:50:00,68,97.4
00:55:00,72,97.4
01:00:00,78,97.4
01:05:00,70,97.5
01:10:00,75,97.5
01:15:00,74,97.6
01:20:00,69,97.6
01:25:00,73,97.6
01:30:00,77,97.7
01:35:00,58,97.8
01:40:00,73,97.8
01:45:00,65,97.8
01:50:00,74,97.8
01:55:00,76,97.9
02:00:00,72,97.9
02:05:00,78,98
02:10:00,71,98
02:15:00,74,98
02:20:00,67,98
02:25:00,64,98
02:30:00,78,98
02:35:00,73,98.1
02:40:00,67,98.1
02:45:00,66,98.2
02:50:00,64,98.2
02:55:00,71,98.2
03:00:00,72,98.2
03:05:00,86,98.3
03:10:00,72,98.3
03:15:00,68,98.4
03:20:00,70,98.4
03:25:00,82,98.4
03:30:00,84,98.4
03:35:00,68,98.5
03:40:00,71,98.5
03:45:00,77,98.6
03:50:00,78,98.6
03:55:00,83,98.6
04:00:00,66,98.6
04:05:00,70,98.6
04:10:00,82,98.6
04:15:00,73,98.7
04:20:00,78,98.7
04:25:00,78,98.8
04:30:00,81,98.8
04:35:00,78,98.8
04:40:00,80,98.9
04:45:00,75,99
04:50:00,79,99
04:55:00,81,99
05:00:00,71,99.1
05:05:00,83,99.2
05:10:00,63,99.3
05:15:00,70,99.4
05:20:00,75,99.5
05:25:00,69,96.4
05:30:00,62,96.7
05:35:00,75,96.8
05:40:00,66,97.2
05:45:00,68,97.2
05:50:00,57,97.4
05:55:00,61,97.6
06:00:00,84,97.7
06:05:00,61,97.7
06:10:00,77,97.8
06:15:00,62,97.8
06:20:00,71,97.8
06:25:00,68,97.9
06:30:00,69,97.9
06:35:00,79,97.9
06:40:00,76,98
06:45:00,87,98
06:50:00,78,98
06:55:00,73,98
07:00:00,89,98
07:05:00,81,98.1
07:10:00,73,98.2
07:15:00,64,98.2
07:20:00,65,98.2
07:25:00,73,98.2
07:30:00,69,98.2
07:35:00,57,98.2
07:40:00,79,98.3
07:45:00,78,98.3
07:50:00,80,98.3
07:55:00,79,98.4
08:00:00,81,98.4
08:05:00,73,98.4
08:10:00,74,98.4
08:15:00,84,98.4
08:20:00,83,98.5
08:25:00,82,98.6
08:30:00,85,98.6
08:35:00,86,98.6
08:40:00,77,98.6
08:45:00,72,98.7
08:50:00,79,98.7
08:55:00,59,98.7
09:00:00,64,98.7
09:05:00,65,98.7
09:10:00,82,98.7
09:15:00,64,98.8
09:20:00,70,98.8
09:25:00,83,98.8
09:30:00,89,98.8
09:35:00,69,98.8
09:40:00,73,98.8
09:45:00,84,98.8
09:50:00,76,98.9
09:55:00,79,99
10:00:00,81,99
10:05:00,80,99.1
10:10:00,74,99.1
10:15:00,77,99.2
10:20:00,66,99.2
10:25:00,68,99.3
10:30:00,77,99.4
10:35:00,79,99.9
10:40:00,78,100
10:45:00,77,100.8
10:50:00,,
10:55:00,,
11:00:00,,
11:05:00,,
11:10:00,,
11:15:00,,
11:20:00,,
11:25:00,,
11:30:00,,
11:35:00,,
11:40:00,,
11:45:00,,
11:50:00,,
11:55:00,,
12:00:00,,
12:05:00,,
12:10:00,,
12:15:00,,
12:20:00,,
12:25:00,,
12:30:00,,
12:35:00,,
12:40:00,,
12:45:00,,
12:50:00,,
12:55:00,,
13:00:00,,
13:05:00,,
13:10:00,,
13:15:00,,
13:20:00,,
13:25:00,,
13:30:00,,
13:35:00,,
13:40:00,,
13:45:00,,
13:50:00,,
13:55:00,,
14:00:00,,
14:05:00,,
14:10:00,,
14:15:00,,
14:20:00,,
14:25:00,,
14:30:00,,
14:35:00,,
14:40:00,,
14:45:00,,
14:50:00,,
14:55:00,,
15:00:00,,
15:05:00,,
15:10:00,,
15:15:00,,
15:20:00,,
15:25:00,,
15:30:00,,
15:35:00,,
15:40:00,,
15:45:00,,
15:50:00,,
15:55:00,,
16:00:00,,
16:05:00,,
16:10:00,,
16:15:00,,
16:20:00,,
16:25:00,,
16:30:00,,
16:35:00,,
16:40:00,,
16:45:00,,
16:50:00,,
16:55:00,,
17:00:00,,
17:05:00,,
17:10:00,,
17:15:00,,
17:20:00,,
17:25:00,,
17:30:00,,
17:35:00,,
17:40:00,,
17:45:00,,
17:50:00,,
17:55:00,,
18:00:00,,
18:05:00,,
18:10:00,,
18:15:00,,
18:20:00,,
18:25:00,,
18:30:00,,
18:35:00,,
18:40:00,,
18:45:00,,
18:50:00,,
18:55:00,,
19:00:00,,
19:05:00,,
19:10:00,,
19:15:00,,
19:20:00,,
19:25:00,,
19:30:00,,
19:35:00,,
19:40:00,,
19:45:00,,
19:50:00,,
19:55:00,,
20:00:00,,
20:05:00,,
20:10:00,,
20:15:00,,
20:20:00,,
20:25:00,,
20:30:00,,
20:35:00,,
20:40:00,,
20:45:00,,
20:50:00,,
20:55:00,,
21:00:00,,
21:05:00,,
21:10:00,,
21:15:00,,
21:20:00,,
21:25:00,,
21:30:00,,
21:35:00,,
21:40:00,,
21:45:00,,
21:50:00,,
21:55:00,,
22:00:00,,
22:05:00,,
22:10:00,,
22:15:00,,
22:20:00,,
22:25:00,,
22:30:00,,
22:35:00,,
22:40:00,,
22:45:00,,
22:50:00,,
22:55:00,,
23:00:00,,
23:05:00,,
23:10:00,,
23:15:00,,
23:20:00,,
23:25:00,,
23:30:00,,
23:35:00,,
23:40:00,,
23:45:00,,
23:50:00,,
23:55:00,,
00:00:00,,
00:05:00,,
00:10:00,,
00:15:00,,
00:20:00,,
00:25:00,,
00:30:00,,
00:35:00,,
00:40:00,,
00:45:00,,
00:50:00,,
00:55:00,,
01:00:00,,
01:05:00,,
01:10:00,,
01:15:00,,
01:20:00,,
01:25:00,,
01:30:00,,
01:35:00,,
01:40:00,,
01:45:00,,
01:50:00,,
01:55:00,,
02:00:00,,
02:05:00,,
02:10:00,,
